Name,Team,Conf,Class,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,ORTG,DRTG,PER,TS%,3PAr,FTr,PProd,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/40,OBPM,DBPM,BPM
Ryan Conwell,Louisville,ACC,SR,G,34,34,1049,7.7,18.8,0.408,4.3,12.4,0.345,3.4,6.4,0.53,0.521,4.7,5.7,0.832,0.8,5.4,6.2,3.5,1.4,0.2,2.8,3.6,24.3,115.6,104.1,19,0.566,0.659,0.302,580,2.3,14.4,8.6,16.6,2,0.6,11.5,29.5,2.6,1.8,4.4,0.166,5.1,2.2,7.3
Baba Miller,Cincinnati,Big 12,SR,F,31,31,988,6,11.3,0.529,0.4,2.1,0.192,5.6,9.2,0.605,0.546,4,6,0.658,3,10,13,4.7,0.9,1.5,2.8,2.9,16.4,116,93.8,21,0.576,0.186,0.532,430,8.3,27.7,18,23.3,1.3,4.2,16.2,21.1,2,2.6,4.6,0.186,3.7,5.8,9.4
Jack Kayil,Mega,ABA,SO,G,18,18,462,3.7,9.2,0.398,2.3,6.4,0.354,1.4,2.8,0.5,0.523,1.2,1.3,0.882,0.5,2.6,3,4,2,0.3,2.6,4.9,10.8,108,96,14,0.556,0.696,0.141,416,4,8,6,10,3.4,0.6,20,19,1,1.6,2.6,0.155,-0.8,3.2,2.4
Braden Smith,Purdue,Big Ten,SR,G,39,39,1344,5.9,13.3,0.44,1.9,5.3,0.362,4,8.1,0.491,0.511,2.9,3.6,0.825,0.7,3.4,4.1,10.3,2,0.2,3.4,1.8,16.6,121.5,109.1,20.9,0.551,0.395,0.268,693,2.4,10.3,6.5,43,3,0.7,18.3,24,4.1,1.7,5.8,0.173,6.8,3,9.8
Jaden Bradley,Arizona,Big 12,SR,G,39,39,1193,5.7,12.3,0.463,0.9,2.2,0.394,4.8,10.1,0.478,0.499,5.1,6.3,0.809,0.6,3.9,4.5,5.7,1.9,0.1,2.3,2.6,17.4,122.9,100.4,18.1,0.568,0.18,0.512,537,1.8,9.5,6,23.2,2.6,0.3,13,20.9,3,2.5,5.5,0.184,3.7,5.3,9
Richie Saunders,BYU,Big 12,SR,G,25,25,784,7.6,15.6,0.489,3.3,8.7,0.376,4.3,6.9,0.63,0.593,4.5,5.6,0.817,2.4,4.9,7.3,2.7,2.2,0.4,2.1,2.8,23,131.1,106.8,25,0.632,0.557,0.357,422,6.7,13.5,10.2,12.2,3.1,1,10.3,24.5,3,1.2,4.1,0.21,7.8,2.9,10.7
Dillon Mitchell,St. John's (NY),Big East,SR,F,37,25,1041,5.1,9.1,0.559,0,0.6,0.067,5,8.5,0.593,0.561,1.7,3.3,0.494,3.4,6.5,10,4.3,1.8,1,1.4,2.6,11.8,124.1,97.5,18.7,0.555,0.064,0.369,354,9.4,18,13.7,18.8,2.6,2.6,11.8,14.5,2.1,2.4,4.5,0.173,3.9,5.3,9.3
Ugonna Onyenso,Virginia,ACC,SR,F,36,0,669,5.7,10.1,0.568,0.6,2.2,0.278,5.1,8,0.647,0.598,1.9,2.6,0.727,3.3,7.2,10.5,1.3,1.3,6.3,1,2.7,14,133.9,93.5,25.6,0.616,0.213,0.26,220,9.8,19.3,14.7,5.8,2,17.4,7.8,15.5,1.7,1.8,3.5,0.21,4.7,7.6,12.2
Ja'Kobi Gillespie,Tennessee,SEC,SR,G,37,37,1286,7.2,17.6,0.41,3.2,9.5,0.338,4,8.1,0.494,0.501,3.5,4.4,0.814,0.7,2.6,3.3,6.3,2.5,0.2,2.6,2.6,21.2,122,104.4,20.3,0.538,0.539,0.247,667,1.9,7.2,4.6,30.2,3.6,0.8,11.8,26.9,3.9,2.2,6.1,0.188,6.4,4.5,10.9
Emanuel Sharp,Houston,Big 12,SR,G,37,37,1087,6.5,15.7,0.413,3.6,9.6,0.372,2.9,6.1,0.479,0.527,4.5,5.1,0.891,1.1,3,4,2.4,1.6,0.1,1.3,4.1,21,127.6,100.2,20,0.582,0.613,0.324,509,3,8.6,5.7,11.1,2.5,0.4,6.8,25,3.6,2.2,5.8,0.214,5.9,4.8,10.7
