Name,Team,Conf,Class,Pos,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,ORTG,DRTG,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/40,OBPM,DBPM,BPM,player_id
N'Faly Dante,Oregon,P12,SR,C,22,691.0,7.0,10.0,0.695,0.0,0.0,0.0,7.0,10.0,0.695,0.695,3.1,5.0,0.613,2.8,6.4,9.2,1.6,1.7,1.9,2.4,2.7,17.0,120.1,96.7,30.6,0.686,0.0,0.505,10.3,24.5,17.3,11.2,3.2,6.6,18.2,24.2,2.4,1.4,3.8,0.217,7.2,4.5,11.7,nfalyda01
Nae'Qwan Tomlin,Memphis,Amer,SR,F,21,560.0,5.4,9.0,0.601,1.0,2.5,0.396,4.4,6.4,0.681,0.657,2.3,3.0,0.774,2.3,3.7,6.0,0.7,0.8,1.1,1.0,4.7,14.0,132.7,104.8,24.9,0.678,0.282,0.33,9.6,14.7,12.1,5.1,1.6,4.8,11.2,19.4,2.2,0.7,2.9,0.203,4.8,0.8,5.6,tomlina01
Naji Marshall,Xavier,BE,JR,F,31,1104.0,6.1,13.8,0.445,1.4,5.0,0.286,4.7,8.8,0.535,0.496,3.2,4.5,0.71,1.1,5.2,6.3,4.0,1.3,0.4,3.4,3.0,16.8,100.6,95.5,18.7,0.53,0.361,0.323,3.5,15.9,9.7,24.1,2.0,1.3,20.4,26.6,1.9,1.9,3.9,0.14,3.0,2.8,5.9,marshna01
Naz Reid,LSU,SEC,FR,C,34,925.0,5.0,10.7,0.468,0.8,2.5,0.333,4.2,8.3,0.509,0.507,2.7,3.8,0.727,2.5,4.7,7.2,0.9,0.7,0.7,2.5,4.7,13.6,103.8,100.8,19.4,0.544,0.23,0.351,10.2,19.4,14.9,6.4,1.5,2.8,20.1,25.9,1.7,1.3,3.0,0.131,1.8,0.1,1.9,reidna01
Neemias Queta,Utah St.,MWC,JR,C,28,841.0,5.8,10.4,0.558,0.0,0.1,0.0,5.8,10.4,0.562,0.558,3.5,5.0,0.707,2.9,7.3,10.1,2.7,1.1,3.3,2.4,3.2,14.9,113.2,79.9,30.5,0.593,0.007,0.479,10.7,26.8,19.0,18.4,2.0,13.4,18.2,24.9,2.8,2.9,5.8,0.265,4.9,7.0,11.8,quetane01
Nic Claxton,Georgia,SEC,SO,F,32,1011.0,5.4,11.8,0.46,0.7,2.5,0.281,4.7,9.3,0.509,0.49,4.9,7.6,0.641,2.8,8.0,10.8,2.3,1.3,3.2,2.7,3.6,16.4,108.1,99.5,21.2,0.533,0.215,0.644,8.4,20.6,14.9,12.2,1.9,8.0,14.7,22.1,1.8,1.7,3.5,0.137,2.3,3.2,5.5,claxtni01
Nick Richards,Kentucky,SEC,JR,C,31,919.0,5.3,8.2,0.642,0.0,0.0,0.0,5.3,8.2,0.642,0.642,3.5,4.7,0.752,2.6,5.2,7.8,0.2,0.1,2.1,1.6,4.3,14.0,123.4,94.5,25.8,0.674,0.0,0.571,11.3,18.6,15.3,1.7,0.2,8.0,15.3,20.3,3.4,1.6,5.1,0.222,4.2,2.1,6.3,richani01
Nick Smith Jr.,Arkansas,SEC,FR,G,17,439.0,4.5,11.9,0.376,1.4,4.2,0.338,3.1,7.7,0.397,0.436,2.2,2.9,0.74,0.2,1.4,1.6,1.7,0.8,0.1,1.6,2.4,12.5,95.6,102.2,13.0,0.472,0.351,0.248,1.1,6.3,3.8,13.4,1.8,0.5,13.3,26.3,0.3,0.6,0.9,0.082,0.8,-1.0,-0.2,smithni01
Nickeil Alexander-Walker,Virginia Tech,ACC,SO,G,34,1167.0,5.6,11.8,0.474,1.7,4.6,0.374,3.9,7.2,0.537,0.546,3.3,4.2,0.778,0.5,3.6,4.1,4.0,1.9,0.5,2.9,2.7,16.2,109.8,93.6,21.9,0.586,0.586,0.359,1.8,13.1,7.6,24.6,3.4,2.3,19.6,26.4,3.1,2.5,5.5,0.189,4.2,3.7,7.9,alexani01
Nicolas Batum,Le Mans,Intl,FR,F,30,960.0,6.2,11.9,0.523,1.4,4.1,0.348,4.8,7.8,0.617,0.58,3.2,4.3,0.753,2.2,4.8,7.0,5.0,1.9,1.1,3.3,2.3,17.1,100.047,99.42,10.688,0.62,0.345,0.361,9.549,13.889,12.153,105.932,3.299,17.309,15.6,29.674,0.035,2.55,2.585,0.108,1.022,1.191,2.213,batumni01
Nique Clifford,Colorado St.,MWC,SR,F,36,1274.0,6.6,13.3,0.496,1.8,4.9,0.377,4.8,8.5,0.564,0.565,3.9,5.0,0.777,1.5,8.1,9.6,4.4,1.2,0.6,2.6,2.7,18.9,116.6,95.0,25.1,0.603,0.365,0.373,5.4,26.0,16.4,26.8,2.0,2.0,15.8,27.9,4.1,2.9,7.0,0.22,6.9,3.4,10.3,cliffni01
