player,player_id,Career_MP,Career_WS,Career_VORP,All_Star_Selections,All_NBA_Selections,OutcomeClass
Aleksandar Radojević,radojal01,152.0,-0.4,-0.4,0,0,Rotational
Aleksej Pokusevski,pokusal01,3834.0,0.30000000000000027,-1.0,0,0,Rotational
Alen Smailagić,smailal01,223.0,0.2,-0.1,0,0,Rotational
Alex Acker,ackeral01,433.0,-0.2,-0.30000000000000004,0,0,Rotational
Alex Antetokounmpo,antetal01,21.0,0.1,0.0,0,0,Rotational
Alex Blackwell,blackal01,109.0,0.0,-0.1,0,0,Rotational
Alex Bradley,bradlal02,331.0,0.4,0.0,0,0,Rotational
Alex Caruso,carusal01,10307.0,23.1,7.8999999999999995,0,0,Starter
Alex Ducas,ducasal01,125.0,0.3,0.0,0,0,Rotational
Alex English,englial01,40464.0,105.9,39.6,8,6,Superstar
Alex Fudge,fudgeal01,80.0,0.0,-0.1,0,0,Rotational
Alex Garcia,garcial01,159.0,-0.2,0.0,0,0,Rotational
Alex Groza,grozaal01,0.0,35.9,0.0,1,0,All-Star
Alex Hannum,hannual01,9863.0,14.8,0.0,0,0,Rotational
Alex Kirk,kirkal01,14.0,0.0,0.0,0,0,Rotational
Alex Len,lenal01,14083.0,29.8,1.2000000000000002,0,0,Starter
Alex Morales,moralal01,24.0,-0.1,-0.1,0,0,Rotational
Alex Poythress,poythal01,566.0,0.9,-0.2,0,0,Rotational
Alex Reese,reeseal01,432.0,1.0,0.0,0,0,Rotational
Alex Sarr,sarral01,3119.0,1.3,0.30000000000000004,0,0,Rotational
Alex Scales,scaleal01,0.0,0.0,0.0,0,0,Rotational
Alex Stepheson,stephal01,146.0,0.2,0.0,0,0,Rotational
Alex Stivrins,stivral01,166.0,-0.1,-0.2,0,0,Rotational
Alexander Johnson,johnsal01,1302.0,1.5,-0.8999999999999999,0,0,Rotational
Alexander Volkov,volkoal01,2453.0,4.4,1.5,0,0,Rotational
Alexey Shved,shvedal01,4038.0,5.300000000000001,1.9,0,0,Rotational
Alexis Ajinça,ajincal01,4245.0,7.9,-0.9,0,0,Rotational
Alfonzo McKinnie,mckinal01,2113.0,3.1000000000000005,-1.2000000000000002,0,0,Rotational
Alfredrick Hughes,hugheri01,866.0,-0.5,-0.8,0,0,Rotational
Alijah Martin,martial01,146.0,0.0,-0.1,0,0,Rotational
Alize Johnson,johnsal02,735.0,1.4,-0.30000000000000004,0,0,Rotational
Allan Bristow,bristal01,14159.0,24.7,6.6000000000000005,0,0,Starter
Allan Houston,houstal01,28311.0,55.2,14.9,2,0,All-Star
Allan Ray,rayal01,710.0,0.6,-0.1,0,0,Rotational
Allen Crabbe,crabbal01,9778.0,13.700000000000001,0.3999999999999999,0,0,Rotational
Allen Iverson,iversal01,43303.0,108.7,53.4,11,8,Superstar
Allen Leavell,leaveal01,16248.0,29.8,9.8,0,0,Starter
Allen Murphy,murphal01,266.0,-0.1,-0.30000000000000004,0,0,Rotational
Allie McGuire,mcguial02,10.0,0.0,0.0,0,0,Rotational
Allonzo Trier,trieral01,1750.0,1.4,-0.30000000000000004,0,0,Rotational
Alondes Williams,willial06,126.0,0.09999999999999998,0.0,0,0,Rotational
Alonzo Bradley,bradlal01,1139.0,-0.2,-0.8,0,0,Rotational
Alonzo Gee,geeal01,10851.0,11.799999999999999,-0.2,0,0,Starter
Alonzo Mourning,mournal01,26677.0,90.9,27.5,7,4,Superstar
Alperen Şengün,sengual01,10499.0,30.5,13.4,2,0,All-Star
Alphonso Ford,fordal01,114.0,-0.30000000000000004,-0.2,0,0,Rotational
Alton Ford,fordal02,524.0,0.8,-0.6,0,0,Rotational
Alton Lister,listeal01,19700.0,37.5,2.5999999999999996,0,1,All-Star
Alvan Adams,adamsal01,27203.0,73.4,32.9,1,0,All-Star
Alvin Heggs,heggsal01,14.0,0.1,0.0,0,0,Rotational
