Name,Team,Conf,Class,Pos,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,ORTG,DRTG,TS%,FTr,ORB%,DRB%,AST%,STL%,BLK%,TOV%,USG%,OBPM,DBPM,BPM,PER ,3PAr,PProd,TRB%,OWS,DWS,WS,WS/40
Garrett Temple,LSU,SEC,SR,G,35,1060,2.2,6,0.362,0.8,2.7,0.309,1.3,3.3,0.405,0.431,1.9,2.3,0.805,1.3,3.2,4.5,3.8,1.7,0.7,1.9,3.7,7.1,104.4,95.6,0.496,0.39,4.8,11.7,21.3,3.3,2.3,23.4,15.9,0.7,3.1,3.9,21.5,0.448,430,8.3,0.6,2.7,3.3,0.123
Dalen Terry,Arizona,P12,SO,F,37,1029,3.1,6.2,0.502,0.8,2.1,0.364,2.4,4.1,0.572,0.563,1.1,1.4,0.736,1.2,3.7,4.8,3.9,1.2,0.3,1.4,3.3,8,121.1,93.6,0.584,0.231,5,12.8,22.1,2.5,1.1,18,15.1,3.1,3.5,6.7,16.9,0.336,343,9.3,2.4,2.1,4.5,0.176
Adou Thiero,Arkansas,SEC,JR,F,27,743,5.1,9.4,0.545,0.4,1.6,0.256,4.7,7.8,0.605,0.567,4.4,6.5,0.686,1.8,4,5.8,1.9,1.6,0.7,1.7,3.7,15.1,116.1,97.9,0.605,0.692,7.7,15.9,14,3.4,2.9,13.6,25.9,5.2,3.9,9.1,25.1,0.17,391,12,2.3,1.5,3.8,0.203
Klay Thompson,Washington St.,P10,JR,G,34,1179,7.1,16.2,0.436,2.9,7.2,0.398,4.2,9,0.466,0.525,4.6,5.4,0.838,0.7,4.5,5.2,3.7,1.6,0.9,3.4,3.4,21.6,107.6,94.8,0.574,0.336,2.6,14,25,2.8,3.1,17.8,31.9,6.7,2.6,9.3,26.1,0.446,694,8.6,3.7,2.2,5.8,0.198
Matisse Thybulle,Washington,P12,SR,G,36,1116,3.1,7.5,0.415,1.3,4.2,0.305,1.8,3.3,0.555,0.5,1.6,1.9,0.851,0.8,2.3,3.1,2.1,3.4,2.2,1.8,3.6,9.1,103.2,87.4,0.542,0.248,3,9,13.5,6.6,8.1,20.5,17.2,2.2,8.4,10.5,19.9,0.559,333,6,1.3,3.1,4.3,0.154
Xavier Tillman,Michigan St.,B10,JR,C,31,995,5.3,9.7,0.55,0.4,1.6,0.26,4.9,8.1,0.608,0.572,2.6,4,0.667,2.7,7.6,10.3,3,1.2,2.1,2,3.3,13.7,116.6,85.6,0.593,0.41,9.9,23.9,18.3,2.1,6.9,16.4,21.6,5.7,5.7,11.5,26.5,0.167,432,17.5,3.1,2.7,5.8,0.234
Nae'Qwan Tomlin,Memphis,Amer,SR,F,21,560,5.4,9,0.601,1,2.5,0.396,4.4,6.4,0.681,0.657,2.3,3,0.774,2.3,3.7,6,0.7,0.8,1.1,1,4.7,14,132.7,104.8,0.678,0.33,9.6,14.7,5.1,1.6,4.8,11.2,19.4,4.8,0.8,5.6,24.9,0.282,261,12.1,2.2,0.7,2.9,0.203
John Tonje,Wisconsin,B10,SR,F,37,1151,5.5,11.9,0.465,2.3,5.9,0.388,3.2,5.9,0.541,0.562,6.2,6.9,0.909,0.8,4.5,5.3,1.8,0.7,0.2,1.8,2.2,19.6,123.8,103.7,0.647,0.579,3,15.6,11.9,1.4,0.8,12.9,26.8,8.2,1.8,10,24.8,0.499,652,9.6,4.7,1.6,6.4,0.222
Jacob Toppin,Kentucky,SEC,JR,F,33,1040,4.8,10.3,0.463,0.5,1.8,0.305,4.2,8.5,0.496,0.49,2.3,3.4,0.664,1.9,4.9,6.8,2.2,0.5,0.5,1.5,2.9,12.4,111,102.5,0.518,0.331,6.9,18.3,13.5,0.9,1.7,13.6,20.8,2.6,1.3,3.9,17.5,0.173,400,12.5,2.3,1.3,3.6,0.139
Obi Toppin,Dayton,A10,SO,F,31,981,7.9,12.5,0.633,1,2.6,0.39,6.9,9.8,0.698,0.674,3.2,4.5,0.702,1.2,6.4,7.5,2.2,1,1.2,2.2,2.1,20,122.5,89.6,0.684,0.364,5.2,22,14.5,1.8,4.1,15.4,26.2,8.6,3.3,11.9,32.5,0.212,540,14.5,4.5,2.3,6.8,0.279
Karl-Anthony Towns,Kentucky,SEC,FR,C,39,824,3.7,6.6,0.566,0.1,0.2,0.25,3.7,6.4,0.577,0.57,2.8,3.4,0.813,2.4,4.3,6.7,1.1,0.5,2.3,1.4,5.6,10.3,122.7,77.3,0.627,0.523,14.1,22.2,11.5,1.4,11.4,16.6,24.2,6.3,6.8,13.1,31.4,0.031,391,18.5,3.5,2.9,6.4,0.311
Gary Trent Jr.,Duke,ACC,FR,F,37,1249,4.8,11.5,0.415,2.6,6.5,0.402,2.2,5,0.43,0.528,2.3,2.6,0.876,0.8,3.4,4.2,1.4,1.2,0.1,1,2,14.5,122.3,101.7,0.567,0.227,2.9,10.3,6.8,2,0.4,9.9,17.3,3.9,1.9,5.8,16.7,0.564,468,6.8,3.3,1.8,5.1,0.163
Oscar Tshiebwe,Kentucky,SEC,SR,C,32,1073,6.1,10.9,0.56,0,0.1,0,6.1,10.8,0.564,0.56,4.3,5.9,0.729,5.8,7.9,13.7,1.6,1.6,1,2,3.5,16.5,122.6,93.8,0.603,0.54,19.5,27.9,9.4,2.9,3.3,14.8,24.5,7.5,2,9.5,30.9,0.006,538,23.6,4.4,2.3,6.6,0.246
