player,pos,exp,num,hgt,team,conf,g,min,mpg,ppg,oreb,dreb,rpg,apg,tov,ast_to,spg,bpg,usg,ortg,efg,ts,year,id,fgm,ftm,fta,ft_pct,two_m,two_a,two_pct,three_m,three_a,three_pct,dunk_m,dunk_a,dunk_pct,rim_m,rim_a,rim_pct,mid_m,mid_a,mid_pct,porpag,dporpag,adj_oe,drtg,adj_de,stops,obpm,dbpm,bpm,oreb_rate,dreb_rate,ast,to,blk,stl,ftr,pfr,rec,pick,fga,fg_pct
Gradey Dick,Wing F,Fr,4.0,6-8,Kansas,B12,36,81.2,32.6944,14.0833,1.1111,4.0278,5.1389,1.6667,1.25,1.33336,1.4444,0.25,19.2,115.3,54.7,58.11,2023,77155,174,76,89,0.854,91,188,0.484,83,206,0.403,15.0,16.0,0.9375,62.0,101.0,0.6139,29.0,87.0,0.3333,3.98003,4.22086,122.556,97.4812,91.7674,221.254,4.28941,2.25256,6.54197,4.0,13.5,9.4,11.4,0.8,2.5,22.6,2.6,96.2,13.0,394,0.441624365482233
Hunter Dickinson,C,Fr,1.0,7-1,Michigan,B10,28,64.6,25.9643,14.0714,2.1786,5.1786,7.3571,0.8929,2.28570012602453,0.39064617,0.3214,1.4286,26.7,111.0,59.8,62.79,2021,73454,156,82,111,0.739,156,257,0.607,0,4,0.0,32.0,34.0,0.9412,116.0,158.0,0.7342,40.0,99.0,0.404,3.77523,3.72937,127.345,92.5807,85.6777,157.428,3.11674,3.0588,6.17554,10.9,21.3,7.3,19.7,5.3,0.7,42.5,3.9,92.0,,261,0.597701149425287
Hunter Dickinson,PF/C,So,1.0,7-1,Michigan,B10,32,76.0,32.2812,18.5625,2.3438,6.2188,8.5625,2.2812,2.03119998686469,1.12307996,0.4688,1.5312,26.8,119.9,58.8,61.73,2022,73454,240,93,116,0.802,219,362,0.605,21,64,0.328,40.0,42.0,0.9524,95.0,131.0,0.7252,124.0,231.0,0.5368,5.85133,3.81771,137.634,100.078,93.316,208.177,7.30137,2.57551,9.87688,9.1,22.7,16.1,14.0,5.0,0.9,27.2,3.4,92.0,,426,0.563380281690141
Hunter Dickinson,PF/C,Jr,1.0,7-1,Michigan,B10,34,80.0,32.7059,18.5,2.2941,6.7353,9.0294,1.4706,2.02940010954841,0.72464764,0.5,1.7647,27.1,116.4,58.7,61.37,2023,73454,244,117,161,0.727,220,379,0.58,24,57,0.421,22.0,25.0,0.88,130.0,192.0,0.6771,90.0,187.0,0.4813,5.03366,4.0701,132.562,97.4495,92.5761,232.802,6.79921,2.53034,9.32954,8.3,22.4,10.5,13.6,5.4,0.9,36.9,2.3,92.0,,436,0.559633027522936
Hunter Dickinson,PF/C,Sr,1.0,7-2,Kansas,B12,32,77.8,32.2121,17.9091,2.5758,8.3636,10.9394,2.303,1.75759996374597,1.31030954,0.9394,1.4242,26.3,111.3,56.2,57.17,2024,73454,235,68,109,0.624,213,375,0.568,22,63,0.349,17.0,20.0,0.85,108.0,156.0,0.6923,105.0,218.0,0.4817,4.31219,4.65545,127.298,94.7406,88.7726,244.468,4.95374,2.83141,7.78515,10.1,27.5,15.5,12.1,5.1,1.6,24.9,2.9,92.0,,438,0.536529680365297
Hunter Dickinson,PF/C,Sr,1.0,7-2,Kansas,B12,34,74.6,30.1529,17.4118,2.7647,7.2353,10.0,2.0882,2.1764999953931,0.95943028,0.9706,1.2941,28.3,111.4,54.3,57.1,2025,73454,242,92,123,0.748,226,402,0.562,16,58,0.276,23.0,30.0,0.7667,120.0,174.0,0.6897,106.0,228.0,0.4649,4.34281,4.67106,131.743,93.7948,86.6435,241.852,5.15788,3.69974,8.85761,10.7,25.1,14.4,14.8,4.7,1.9,26.7,3.0,92.0,,460,0.526086956521739
Rob Dillingham,Scoring PG,Fr,0.0,6-3,Kentucky,SEC,32,55.7,23.25,15.1875,0.25,2.6875,2.9375,3.9062,2.00000003072039,1.95309997,1.0312,0.0625,29.9,116.1,56.4,59.48,2024,79251,172,78,98,0.796,108,218,0.495,64,144,0.444,4.0,4.0,1.0,63.0,114.0,0.5526,45.0,104.0,0.4327,3.68559,2.21318,134.795,108.34,102.823,133.042,5.66024,-0.0191755,5.64106,1.2,11.8,30.1,15.6,0.3,2.4,27.1,4.5,97.0,,362,0.475138121546961
Luguentz Dort,Combo G,Fr,0.0,6-4,Arizona St.,P12,34,77.8,31.5588,16.0882,1.2941,2.9706,4.2647,2.3235,2.91180001724898,0.79796002,1.5294,0.2059,27.1,98.9,46.7,51.77,2019,66653,174,145,207,0.7,120,254,0.472,54,176,0.307,36.0,43.0,0.8372,107.0,209.0,0.512,13.0,45.0,0.2889,2.45867,3.46963,110.24,100.209,97.3089,212.483,1.21369,1.11303,2.32672,4.5,10.0,15.0,18.7,0.8,2.7,48.1,3.8,94.2,,430,0.404651162790698
Ayo Dosunmu,Combo G,Fr,11.0,6-5,Illinois,B10,32,74.8,31.1875,13.8125,0.7188,3.2812,4.0,3.25,2.25000000692308,1.44444444,1.25,0.25,23.8,102.9,50.3,52.73,2019,66420,163,66,95,0.695,113,232,0.487,50,142,0.352,6.0,6.0,1.0,87.0,134.0,0.6493,26.0,98.0,0.2653,2.99379,3.14997,115.446,105.229,100.01,180.48,3.3799,0.633274,4.01318,2.5,13.0,21.6,17.1,0.9,2.3,25.4,2.6,93.8,38.0,374,0.435828877005348
Ayo Dosunmu,Wing G,So,11.0,6-5,Illinois,B10,29,81.6,33.5667,16.6,0.6,3.7333,4.3333,3.3333,2.69999994653947,1.23455558,0.8333,0.2,25.5,105.5,51.3,54.21,2020,66420,188,71,93,0.763,161,300,0.537,27,93,0.29,6.0,6.0,1.0,97.0,136.0,0.7132,64.0,164.0,0.3902,3.85494,3.89559,118.257,99.1418,94.0785,168.704,3.87385,1.5589,5.43275,1.9,12.6,21.5,18.3,0.6,1.3,23.7,2.0,93.8,38.0,393,0.478371501272265
