Name,Team,Conf,Class,Pos,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,ORTG,DRTG,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/40,OBPM,DBPM,BPM,player_id
Jerami Grant,Syracuse,3,1,2,32,1005.0,4.2,8.4,0.496,0.0,0.2,0.0,4.2,8.2,0.506,0.496,3.8,5.6,0.674,2.4,4.3,6.8,1.4,0.8,0.6,1.2,3.0,12.1,115.6,97.9,21.6,0.547,0.019,0.664,9.1,17.2,13.0,9.4,1.7,2.5,11.3,21.4,2.8,1.9,4.6,0.185,3.4,1.8,5.2,grantje01
Jeremiah Robinson-Earl,Villanova,1,1,1,25,862.0,6.2,12.5,0.497,0.9,3.3,0.28,5.3,9.2,0.574,0.534,2.4,3.4,0.714,2.5,6.0,8.5,2.2,1.0,0.6,1.6,2.6,15.7,114.1,98.2,23.4,0.558,0.263,0.269,8.6,21.2,14.8,13.5,1.7,2.3,11.8,24.1,2.7,1.3,4.1,0.189,5.1,1.6,6.8,robinje02
Jeremy Sochan,Baylor,3,0,1,30,754.0,3.3,7.0,0.474,0.8,2.7,0.296,2.5,4.3,0.585,0.531,1.8,3.0,0.589,2.0,4.4,6.4,1.8,1.3,0.7,1.6,3.7,9.2,108.8,89.0,19.6,0.546,0.384,0.427,8.9,20.6,14.7,12.3,2.9,3.2,18.1,20.0,1.6,1.9,3.4,0.182,3.3,3.8,7.1,sochaje01
Jericho Sims,Texas,3,3,2,26,638.0,3.6,5.3,0.686,0.0,0.0,0.0,3.6,5.2,0.691,0.686,2.0,3.8,0.52,2.2,5.1,7.2,0.7,0.7,1.1,1.6,4.1,9.2,112.1,92.7,21.7,0.65,0.0,0.73,10.3,22.0,16.4,5.4,1.7,4.6,20.7,18.3,1.5,1.4,2.9,0.181,3.0,2.9,5.9,simsje01
Jevon Carter,West Virginia,3,3,0,37,1311.0,5.8,13.8,0.422,2.1,5.3,0.393,3.7,8.5,0.441,0.498,3.6,4.2,0.858,0.8,3.9,4.6,6.6,3.0,0.4,2.6,3.4,17.3,117.3,94.3,24.9,0.549,0.385,0.305,2.3,12.9,7.5,35.2,4.8,1.2,16.8,25.1,4.3,2.8,7.0,0.214,6.5,4.6,11.1,carteje01
Jimmy Butler,Marquette,1,3,0,37,1282.0,5.8,11.9,0.49,0.6,1.8,0.345,5.2,10.1,0.515,0.516,5.9,7.5,0.783,2.8,4.2,7.0,2.7,1.7,0.4,1.7,1.5,18.2,126.8,102.5,24.0,0.587,0.152,0.628,8.2,12.0,10.1,13.2,2.4,1.1,9.8,21.3,4.8,1.5,6.3,0.198,7.2,2.2,9.4,butleji01
Jock Landale,Saint Mary's,1,3,2,36,1199.0,8.4,13.1,0.64,0.1,0.3,0.3,8.3,12.8,0.648,0.644,4.3,5.8,0.746,2.9,7.2,10.2,2.0,0.4,1.0,2.3,3.6,21.1,125.7,97.4,33.7,0.668,0.021,0.445,12.5,26.6,20.2,13.5,0.7,3.2,14.6,30.1,6.3,2.2,8.5,0.282,7.1,1.2,8.3,landajo01
Joe Ingles,Maccabi Tel Aviv,0,2,1,30,763.3,4.1,8.6,0.476,1.8,4.2,0.411,2.3,4.3,0.541,0.581,1.3,1.9,0.697,0.8,4.6,5.3,5.1,1.3,0.1,2.2,3.2,11.2,96.253,103.17,10.617,0.593,0.488,0.221,4.367,16.74,11.573,147.399,2.839,2.053,15.6,25.407,0.006,1.978,1.984,0.104,0.585,0.659,1.244,inglejo01
Joel Embiid,Kansas,3,0,2,28,647.0,3.8,6.1,0.626,0.0,0.2,0.2,3.8,5.9,0.639,0.629,3.5,5.1,0.685,2.3,5.8,8.1,1.4,0.9,2.6,2.4,5.8,11.2,112.0,90.1,28.2,0.655,0.029,0.836,12.7,27.3,20.5,11.5,2.3,11.7,24.1,24.4,1.8,1.7,3.4,0.213,4.2,6.4,10.6,embiijo01
John Collins,Wake Forest,3,1,2,33,878.0,7.1,11.4,0.622,0.0,0.0,0.0,7.1,11.4,0.624,0.622,5.0,6.7,0.745,3.8,6.1,9.8,0.5,0.6,1.6,1.8,4.5,19.2,124.8,103.9,35.9,0.658,0.003,0.585,16.4,25.7,21.1,4.5,1.3,6.6,13.2,29.2,4.6,1.0,5.6,0.256,8.9,0.3,9.2,collijo01
